Agency,Mode,Date,Week Number,Current,Baseline,Lowest
New York City MTA Rail,Transit,10/03/2020,41,995899,3236066,140455
New York City MTA Rail,Transit,10/04/2020,41,852411,2755182,140455
New York City MTA Rail,Transit,10/05/2020,41,1636314,5847307,140455
New York City MTA Rail,Transit,10/06/2020,41,1984511,5988704,140455
New York City MTA Rail,Transit,10/07/2020,41,1738352,5154704,140455
New York City MTA Rail,Transit,10/08/2020,41,2186717,6227273,140455
New York City MTA Rail,Transit,10/09/2020,41,1741426,6111806,140455
WMATA Bus and Rail,Transit,08/24/2020,35,238000,998984,51000
WMATA Bus and Rail,Transit,08/25/2020,35,240000,1042308,51000
WMATA Bus and Rail,Transit,08/26/2020,35,244000,1048984,51000
WMATA Bus and Rail,Transit,08/27/2020,35,247000,1032885,51000
WMATA Bus and Rail,Transit,08/28/2020,35,291000,952222,51000
WMATA Bus and Rail,Transit,08/29/2020,35,157000,484259,51000
WMATA Bus and Rail,Transit,10/05/2020,41,270000,1078388,51000
WMATA Bus and Rail,Transit,10/06/2020,41,270000,1148810,51000
WMATA Bus and Rail,Transit,10/07/2020,41,273000,1117399,51000
WMATA Bus and Rail,Transit,10/08/2020,41,279000,1121109,51000
WMATA Bus and Rail,Transit,10/09/2020,41,276000,1042236,51000
WMATA Bus and Rail,Transit,10/10/2020,41,187000,520263,51000
WMATA Bus and Rail,Transit,10/11/2020,41,127000,394737,51000
WMATA Bus and Rail,Transit,08/30/2020,35,129000,368077,51000
New York City MTA Rail,Transit,08/22/2020,35,1082606,3488113,140455
New York City MTA Rail,Transit,08/23/2020,35,675419,2545218,140455
New York City MTA Rail,Transit,08/24/2020,35,1483556,5029782,140455
New York City MTA Rail,Transit,08/25/2020,35,1400331,5437461,140455
New York City MTA Rail,Transit,08/26/2020,35,1388488,5479713,140455
New York City MTA Rail,Transit,08/27/2020,35,1363216,5528832,140455
New York City MTA Rail,Transit,08/28/2020,35,1357225,5109696,140455
New York City MTA Rail,Transit,08/29/2020,36,669690,2591019,140455
New York City MTA Rail,Transit,08/30/2020,36,735243,2761534,140455
New York City MTA Rail,Transit,08/31/2020,36,1974168,2388754,140455
New York City MTA Rail,Transit,09/01/2020,36,1620035,5422738,140455
New York City MTA Rail,Transit,09/02/2020,36,1473490,5769264,140455
New York City MTA Rail,Transit,09/03/2020,36,1758454,5999663,140455
New York City MTA Rail,Transit,09/04/2020,36,1675506,5892265,140455
New York City MTA Rail,Transit,09/05/2020,37,989391,2858917,140455
New York City MTA Rail,Transit,09/06/2020,37,817391,3205860,140455
New York City MTA Rail,Transit,09/07/2020,37,986336,5817832,140455
New York City MTA Rail,Transit,09/08/2020,37,2049596,6128973,140455
New York City MTA Rail,Transit,09/09/2020,37,2878570,6197334,140455
New York City MTA Rail,Transit,09/10/2020,37,1535418,6217922,140455
New York City MTA Rail,Transit,09/11/2020,37,1628880,6072583,140455
San Francisco BART Rail,Transit,10/05/2020,41,50086,425900,7582
San Francisco BART Rail,Transit,10/06/2020,41,52126,425900,7582
San Francisco BART Rail,Transit,10/07/2020,41,52639,425900,7582
San Francisco BART Rail,Transit,10/08/2020,41,52685,425900,7582
San Francisco BART Rail,Transit,10/09/2020,41,52860,425900,7582
San Francisco BART Rail,Transit,10/10/2020,41,29692,161700,7582
San Francisco BART Rail,Transit,10/11/2020,41,21871,111200,7582
New York City MTA Rail,Transit,09/12/2020,38,927077,2785261,140455
New York City MTA Rail,Transit,09/13/2020,38,801455,2765433,140455
New York City MTA Rail,Transit,09/14/2020,38,1570081,5946144,140455
New York City MTA Rail,Transit,09/15/2020,38,1643680,6754002,140455
New York City MTA Rail,Transit,09/16/2020,38,1917412,6348404,140455
New York City MTA Rail,Transit,09/17/2020,38,1669445,6292967,140455
New York City MTA Rail,Transit,09/18/2020,38,2183661,6199990,140455
New York City MTA Rail,Transit,09/19/2020,39,971839,2964680,140455
New York City MTA Rail,Transit,09/20/2020,39,827623,2839125,140455
New York City MTA Rail,Transit,09/21/2020,39,1575634,5871244,140455
New York City MTA Rail,Transit,09/22/2020,39,1660391,6237204,140455
New York City MTA Rail,Transit,09/23/2020,39,1701832,6312918,140455
New York City MTA Rail,Transit,09/24/2020,39,1692898,6344595,140455
New York City MTA Rail,Transit,09/25/2020,39,1703860,6115407,140455
San Francisco BART Rail,Transit,09/21/2020,39,47864,426300,7582
San Francisco BART Rail,Transit,09/22/2020,39,50240,426300,7582
San Francisco BART Rail,Transit,09/23/2020,39,51343,426300,7582
San Francisco BART Rail,Transit,09/24/2020,39,51174,426300,7582
San Francisco BART Rail,Transit,09/25/2020,39,51085,426300,7582
San Francisco BART Rail,Transit,09/26/2020,39,28242,153400,7582
San Francisco BART Rail,Transit,09/27/2020,39,20579,108800,7582
New York City MTA Rail,Transit,09/26/2020,40,957690,2864331,140455
New York City MTA Rail,Transit,09/27/2020,40,1149869,2763808,140455
New York City MTA Rail,Transit,09/28/2020,40,1453830,4999365,140455
New York City MTA Rail,Transit,09/29/2020,40,1638674,5414099,140455
New York City MTA Rail,Transit,09/30/2020,40,2288189,6190176,140455
New York City MTA Rail,Transit,10/01/2020,40,1770601,6267423,140455
New York City MTA Rail,Transit,10/02/2020,40,1715381,6215560,140455
San Francisco BART Rail,Transit,08/24/2020,35,44347,415000,7582
San Francisco BART Rail,Transit,08/25/2020,35,46321,415000,7582
San Francisco BART Rail,Transit,08/26/2020,35,46899,415000,7582
San Francisco BART Rail,Transit,08/27/2020,35,47282,415000,7582
San Francisco BART Rail,Transit,08/28/2020,35,46394,415000,7582
San Francisco BART Rail,Transit,08/29/2020,35,24322,156900,7582
San Francisco BART Rail,Transit,08/30/2020,35,18234,103000,7582
WMATA Bus and Rail,Transit,08/31/2020,36,228000,1053431,51000
WMATA Bus and Rail,Transit,09/01/2020,36,251000,1099561,51000
WMATA Bus and Rail,Transit,09/02/2020,36,257000,1103333,51000
WMATA Bus and Rail,Transit,09/03/2020,36,247000,1100439,51000
WMATA Bus and Rail,Transit,09/04/2020,36,265000,1117886,51000
WMATA Bus and Rail,Transit,09/05/2020,36,176000,451542,51000
WMATA Bus and Rail,Transit,09/06/2020,36,138000,324934,51000
WMATA Bus and Rail,Transit,09/07/2020,37,153000,321227,51000
WMATA Bus and Rail,Transit,09/08/2020,37,252000,1119298,51000
WMATA Bus and Rail,Transit,09/09/2020,37,252000,1101923,51000
WMATA Bus and Rail,Transit,09/10/2020,37,237000,1119656,51000
WMATA Bus and Rail,Transit,09/11/2020,37,269000,1061189,51000
WMATA Bus and Rail,Transit,09/12/2020,37,176000,498830,51000
WMATA Bus and Rail,Transit,09/13/2020,37,133000,356667,51000
WMATA Bus and Rail,Transit,09/14/2020,38,253000,1098718,51000
WMATA Bus and Rail,Transit,09/15/2020,38,253000,1098718,51000
WMATA Bus and Rail,Transit,09/16/2020,38,265000,1158333,51000
WMATA Bus and Rail,Transit,09/17/2020,38,246000,1012165,51000
WMATA Bus and Rail,Transit,09/18/2020,38,270000,1003180,51000
WMATA Bus and Rail,Transit,09/19/2020,38,191000,518546,51000
WMATA Bus and Rail,Transit,09/20/2020,38,138000,351030,51000
WMATA Bus and Rail,Transit,09/21/2020,39,251000,1100000,51000
WMATA Bus and Rail,Transit,09/22/2020,39,262000,1150833,51000
WMATA Bus and Rail,Transit,09/23/2020,39,270000,1152692,51000
WMATA Bus and Rail,Transit,09/24/2020,39,271000,1155192,51000
WMATA Bus and Rail,Transit,09/25/2020,39,273000,1042946,51000
WMATA Bus and Rail,Transit,09/26/2020,39,200000,476246,51000
WMATA Bus and Rail,Transit,09/27/2020,39,146000,355833,51000
WMATA Bus and Rail,Transit,09/28/2020,40,268000,1018182,51000
WMATA Bus and Rail,Transit,09/29/2020,40,261000,1153846,51000
WMATA Bus and Rail,Transit,09/30/2020,40,265000,1164167,51000
WMATA Bus and Rail,Transit,10/01/2020,40,277000,1137899,51000
WMATA Bus and Rail,Transit,10/02/2020,40,285000,1076190,51000
WMATA Bus and Rail,Transit,10/03/2020,40,200000,475823,51000
WMATA Bus and Rail,Transit,10/04/2020,40,145000,380869,51000
San Francisco BART Rail,Transit,08/31/2020,36,45329,415000,7582
San Francisco BART Rail,Transit,09/01/2020,36,47764,426300,7582
San Francisco BART Rail,Transit,09/02/2020,36,48344,426300,7582
San Francisco BART Rail,Transit,09/03/2020,36,49007,426300,7582
San Francisco BART Rail,Transit,09/04/2020,36,47772,426300,7582
San Francisco BART Rail,Transit,09/05/2020,36,25622,153400,7582
San Francisco BART Rail,Transit,09/06/2020,36,18596,108800,7582
San Francisco BART Rail,Transit,09/07/2020,37,19731,107600,7582
San Francisco BART Rail,Transit,09/08/2020,37,47785,426300,7582
San Francisco BART Rail,Transit,09/09/2020,37,45437,426300,7582
San Francisco BART Rail,Transit,09/10/2020,37,46832,426300,7582
San Francisco BART Rail,Transit,09/11/2020,37,45506,426300,7582
San Francisco BART Rail,Transit,09/12/2020,37,22631,153400,7582
